x,vx,z,vz,phi,w,value,d1,d2,d3,d4,d5,d6,d7,d8
3.665251622,1.923517187,8.890709821,-0.045319176,-0.272490412,-0.01418263,1000.0,3.4430553913116455,3.776998281478882,1.7894872426986694,1.2983354330062866,1.1590919494628906,1.2092281579971313,1.110757827758789,0.8019362688064575
3.761427481,1.717525869,8.888443862,0.134017941,-0.273199543,0.036423902,1000.0,3.159655809402466,2.455232620239258,1.1790024042129517,0.8573755621910095,0.7658249735832214,0.8081667423248291,1.0094022750854492,1.1101315021514893
3.847303774,1.518502091,8.895144759,0.292134263,-0.271378348,0.078978439,1000.0,3.2100372314453125,2.312721014022827,1.1201598644256592,0.8221059441566467,0.7409098148345947,0.7767969369888306,0.9756179451942444,1.042565941810608
3.923228879,1.331758331,8.909751472,0.416190172,-0.267429426,0.113935022,1000.0,3.229944944381714,2.1517457962036133,1.0449247360229492,0.7818132042884827,0.6904716491699219,0.7270258665084839,0.9274930357933044,1.0242208242416382
3.989816795,1.16006211,8.930560981,0.500395801,-0.261732675,0.142056541,1000.0,3.294477939605713,2.0190439224243164,0.9961079955101013,0.7406333088874817,0.6750427484512329,0.709999144077301,0.895329475402832,0.9515735507011414
4.047819901,1.004104067,8.955580771,0.544545718,-0.254629848,0.164323777,1000.0,3.3499650955200195,1.892228603363037,0.9453735947608948,0.7077968120574951,0.645000696182251,0.6835025548934937,0.8628990054130554,0.8954455256462097
4.098025104,0.863106589,8.982808057,0.552432398,-0.246413659,0.181812412,1000.0,3.8234267234802246,1.7534263134002686,0.8996849060058594,0.684107780456543,0.6111851334571838,0.6516320109367371,0.8387439250946045,0.8369868397712708
4.141180434,0.735466448,9.010429677,0.530185591,-0.237323038,0.195480657,1000.0,9.071965217590332,1.6396267414093018,0.8499311208724976,0.6434231996536255,0.584487795829773,0.6280534267425537,0.8096577525138855,0.7977842092514038
4.177953756,0.619334483,9.036938956,0.484659087,-0.227549006,0.205982959,1000.0,9.09976863861084,1.53536856174469,0.8145775198936462,0.6223120093345642,0.5665996074676514,0.6137656569480896,0.7904203534126282,0.7638694047927856
4.20892048,0.513050177,9.06117191,0.422056502,-0.217249858,0.213600061,1000.0,9.131021499633789,1.4558871984481812,0.7863063216209412,0.5944608449935913,0.5578351616859436,0.5902761816978455,0.7849966883659363,0.7286175489425659
4.234572989,0.415397013,9.082274736,0.346928381,-0.206569855,0.218285799,1000.0,9.139958381652832,1.3573545217514038,0.7412827610969543,0.5693361163139343,0.5329208970069885,0.5699813961982727,0.7446213364601135,0.7133139967918396
4.25534284,0.325701516,9.099621155,0.261524601,-0.195655565,0.219776896,1000.0,9.155869483947754,1.2992972135543823,0.7168466448783875,0.5550076961517334,0.5153549313545227,0.5692030787467957,0.7476734519004822,0.6953473091125488
4.271627916,0.243819978,9.112697385,0.165421459,-0.18466672,0.217818911,1000.0,9.162992477416992,1.2448234558105469,0.6932210326194763,0.5344840288162231,0.5090968608856201,0.5559599995613098,0.7365430593490601,0.6823440194129944
4.283818914,0.170036417,9.120968458,0.055444274,-0.173775774,0.21251849,1000.0,9.17785358428955,1.1940586566925049,0.676723837852478,0.5294324159622192,0.48821336030960083,0.5491888523101807,0.7237440943717957,0.6787630915641785
4.292320735,0.104866344,9.123740671,-0.073893833,-0.16314985,0.204117104,1000.0,9.176948547363281,1.1950620412826538,0.6821909546852112,0.5380192995071411,0.5092456340789795,0.5461329221725464,0.7416818737983704,0.6688481569290161
4.297564053,0.048710007,9.12004598,-0.228793272,-0.152943995,0.193191962,1000.0,9.193703651428223,1.1884968280792236,0.6834699511528015,0.5378144383430481,0.5111641883850098,0.5678147673606873,0.753107488155365,0.6576635837554932
4.299999553,-0.001294815,9.108606316,-0.395747827,-0.143284397,0.181465447,1000.0,8.527482986450195,1.2459392547607422,0.7312883138656616,0.5828421711921692,0.5448117256164551,0.6132951974868774,0.8194942474365234,0.6572421193122864
4.299934812,-0.060380818,9.088818925,-0.472717127,-0.134211124,0.169774304,1000.0,7.885926246643066,1.299988865852356,0.7716035842895508,0.6191032528877258,0.5896891355514526,0.6499497890472412,0.8236649036407471,0.6558886170387268
4.296915771,-0.124835417,9.065183068,-0.476802266,-0.125722409,0.158341534,1000.0,7.4381022453308105,1.2890909910202026,0.7692965269088745,0.6062082648277283,0.5862375497817993,0.6646232604980469,0.8252477049827576,0.6615647077560425
4.290674,-0.191145517,9.041342955,-0.428238824,-0.117805332,0.147434691,1000.0,7.062747955322266,1.3329355716705322,0.811864972114563,0.6428487300872803,0.6252925992012024,0.6950045824050903,0.8414376974105835,0.6663699746131897
4.281116725,-0.256396228,9.019931014,-0.347307482,-0.110433598,0.137168701,1000.0,6.721837997436523,1.3168972730636597,0.7995176911354065,0.6349678635597229,0.6108423471450806,0.6951525807380676,0.840945303440094,0.6836714744567871
