x,vx,z,vz,phi,w,a1,a2,d1,d2,d3,d4,d5,d6,d7,d8
4.0550021245,-0.1132418842,8.9952077714,-0.0526717332,-0.0379239811,-0.0063723341,6.0450590373,6.0503391547,4.130086421966553,1.2342114448547363,0.7899845838546753,0.6627286672592163,0.648132860660553,0.7575060129165649,1.0725940465927124,0.8796071410179138
4.0493400301,-0.0937780742,8.9925741848,-0.0590954254,-0.0382425978,-0.0017327427,6.2399919661,6.2428972207,4.211845874786377,1.2659255266189575,0.8147213459014893,0.675501823425293,0.670810878276825,0.7721454501152039,1.0690783262252808,0.8872490525245667
4.0446511262,-0.0737613521,8.9896194135,-0.0499609076,-0.038329235,0.000753425,6.7121259797,6.7124959392,4.170412540435791,1.2448434829711914,0.7968899011611938,0.6625231504440308,0.6545116305351257,0.7571262121200562,1.0724056959152222,0.890424907207489
4.0409630585,-0.0524545828,8.9871213681,-0.0032639674,-0.0382915638,0.0010334084,7.638411163,7.6370330036,4.148144245147705,1.2463018894195557,0.7969330549240112,0.6704931259155273,0.6550589203834534,0.761170506477356,1.0774993896484375,0.891050398349762
-1.7524995912,0.0915013671,2.4233937918,0.092977707,-0.1369547673,0.0,18.1595108755,0.2848411863,3.1464264392852783,3.483018159866333,4.71426248550415,1.824806571006775,1.7302403450012207,8.02166748046875,3.69956111907959,5.2453765869140625
-1.7479245229,0.1871890405,2.4280426771,0.3347777338,-0.1369547673,-14.8956572114,4.6074343466,18.3691739117,2.4012739658355713,2.589630603790283,3.369081497192383,3.303623676300049,3.0504937171936035,3.2931888103485107,4.275460243225098,2.0094168186187744
-1.7504896143,0.3072315162,2.4582755231,0.7530946946,-0.8807779522,-2.867762406,17.7435089547,18.2761186187,3.2192933559417725,3.5160677433013916,3.0753979682922363,3.1522340774536133,3.838357925415039,6.105519771575928,1.7110673189163208,1.7591406106948853
-1.7470727102,1.4123168377,2.5093451081,1.1733284195,-1.0234195529,-2.3162300978,14.9282504979,18.2844734706,3.058518886566162,3.9174928665161133,3.2382302284240723,3.17092227935791,3.648509979248047,5.230421543121338,1.6723833084106445,1.634392499923706
-1.6884207185,2.5338170038,2.5813451745,1.3668956028,-1.1382376662,0.5675551667,8.759851603,18.2603452843,3.504682779312134,3.7706425189971924,3.3304531574249268,3.44132399559021,4.256126880645752,1.7385108470916748,1.5265350341796875,7.311137676239014
-1.5737115822,3.4902024846,2.6629451586,1.3127356619,-1.1099647937,8.4632030311,14.2737077176,18.1959655245,3.6741652488708496,3.492985963821411,3.895984172821045,1.8551583290100098,1.478615403175354,1.4095213413238525,7.718320369720459,3.195793390274048
-1.4111998212,4.6270722798,2.7417676735,1.3866351038,-0.6882475138,11.4136398432,17.6292199719,17.9537666991,4.239400386810303,1.7789584398269653,1.3798974752426147,5.293253421783447,7.433325290679932,2.800833225250244,3.6040236949920654,5.934179306030273
-1.1918599953,5.486566786,2.8242219778,1.9831747291,-0.1194719446,11.2551683666,18.0504730189,15.9825694822,1.3450180292129517,5.208787441253662,7.00374174118042,2.5119988918304443,2.5485007762908936,5.530744552612305,5.771067142486572,4.782999038696289
